Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
6,62031121,11,17,747,12437,397,0,67.90909091,136.4481253,1400,0,731.5882353,652.2277266,212.5384773,0.451386329,2297448.926,1.16E+07,6.04E+07,0,6.18E+07,6178254.6,1.90E+07,6.04E+07,931,1640569,102535.5625,162856.4088,499193,0,0,0,0,0,232,364,0.177330344,0.274055986,0,1400,454.6206897,602.0313479,362441.7438,0,1,0,0,0,0,0,0,1,470.8571429,67.90909091,731.5882353,0,0,0,0,0,0,11,747,17,12437,-1,501,3,0,0,0,0,0,0,0,0,0,No Label
6,62031494,13,17,1492,9957,476,0,114.7692308,174.2498942,1400,0,585.7058824,633.5152686,184.567536,0.483625302,2139017.034,1.10E+07,5.96E+07,140,6.18E+07,5148584.083,1.73E+07,6.00E+07,412,2459915,153744.6875,195164.4238,614523,239,0,0,0,0,260,388,0.209570964,0.274054338,0,1400,369.3225806,534.1833884,285351.8925,0,1,0,0,0,0,0,0,1,381.6333333,114.7692308,585.7058824,0,0,0,0,0,0,13,1492,17,9957,-1,501,5,0,0,0,0,0,0,0,0,0,No Label
6,1278796,0,3,0,24,0,0,0,0,24,0,8,13.85640646,18.76765332,2.345956665,639398,904245.3234,1278796,0,0,0,0,0,0,1278796,639398,904245.3234,1278796,0,0,0,0,0,0,60,0,2.345956665,0,24,6,12,144,1,0,0,0,1,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,3,24,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
6,1422400,0,3,0,24,0,0,0,0,24,0,8,13.85640646,16.87289089,2.109111361,711200,1005788.686,1422400,0,0,0,0,0,0,1422400,711200,1005788.686,1422400,0,0,0,0,0,0,60,0,2.109111361,0,24,6,12,144,1,0,0,0,1,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,3,24,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
6,31455,0,2,0,0,0,0,0,0,0,0,0,0,0,63.5828962,31455,0,31455,31455,0,0,0,0,0,31455,31455,0,31455,31455,0,0,0,0,0,40,0,63.5828962,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
6,24631,0,3,0,0,0,0,0,0,0,0,0,0,0,121.7977346,12315.5,15588.16899,23338,1293,0,0,0,0,0,24631,12315.5,15588.16899,23338,1293,0,0,0,0,0,72,0,121.7977346,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
6,28919,1,1,24,0,24,24,24,0,0,0,0,0,829.9042152,69.1586846,28919,0,28919,28919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,34.5793423,34.5793423,0,24,8,13.85640646,192,0,0,0,0,1,0,0,0,1,12,24,0,0,0,0,0,0,0,1,24,1,0,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
0,115758106,10,1,0,0,0,0,0,0,0,0,0,0,0,0.095025743,1.16E+07,7531590.965,2.62E+07,3745741,1.11E+08,1.23E+07,7613543.629,2.62E+07,3745741,0,0,0,0,0,0,0,0,0,0,0,0.086387039,0.008638704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,-1,-1,0,0,3747539,2542.755985,3749337,3745741,1.35E+07,7144620.004,2.62E+07,5086138,No Label
0,75997883,2,1,0,0,0,0,0,0,0,0,0,0,0,0.039474784,3.80E+07,3534028.476,4.05E+07,3.55E+07,3.55E+07,3.55E+07,0,3.55E+07,3.55E+07,0,0,0,0,0,0,0,0,0,0,0,0.026316523,0.013158261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,3.80E+07,3534028.476,4.05E+07,3.55E+07,No Label
6,19104043,28,22,3143,1436,631,0,112.25,189.041956,1118,0,65.27272727,236.4388941,239.687484,2.61724704,389878.4286,820993.5155,4190050,0,1.81E+07,670518.2593,1626876.793,8312166,86,1.62E+07,771848.9048,1403073.716,5021240,0,0,0,0,0,620,536,1.465658343,1.151588698,0,1118,89.78431373,208.5318502,43485.53255,0,1,0,0,0,0,0,0,0,91.58,112.25,65.27272727,0,0,0,0,0,0,28,3143,22,1436,-1,273,17,0,0,0,0,0,0,0,0,0,No Label
